NOC,Year,Ath_Cnt
CHN,1992,427
CHN,2012,479
DEN,1920,246
DEN,1900,36
NED,1988,202
NED,1992,257
NED,1994,43
USA,1992,734
USA,1994,237
NED,1932,80
FIN,2002,165
FIN,1952,412
FIN,1980,125
FIN,2000,88
FIN,1996,105
FIN,1994,112
FIN,1912,233
FIN,1920,136
FIN,1924,136
FIN,2014,147
FIN,1948,215
NOR,1992,156
NOR,1994,159
NOR,1998,149
NOR,2002,166
NOR,2006,161
NOR,2008,102
ROU,2016,121
NOR,2000,115
NOR,2004,60
NOR,1960,55
NOR,1964,90
NOR,1920,267
NOR,1984,97
NED,1984,185
NOR,1968,43
NOR,1972,161
NED,1996,290
NED,2000,285
EST,1936,36
NOR,1912,263
FIN,1992,130
FRA,2012,426
NOR,1996,116
NOR,1952,101
NOR,1956,7
NOR,1992,79
EST,1998,48
EST,2002,51
NOR,1936,84
NOR,1948,97
NOR,1952,190
NOR,1960,50
NOR,1924,105
NOR,1928,79
MAR,2012,67
EST,2004,45
EST,2008,53
EST,1992,9
EST,1996,52
ESP,2016,363
FRA,1976,302
EGY,2000,103
IRI,1948,39
FRA,1956,16
BUL,1988,33
BUL,1924,31
BUL,1956,7
BUL,1960,183
ITA,2016,399
ESP,2008,355
CHA,1992,7
AZE,2016,69
SUD,1972,31
RUS,2008,600
RUS,2012,549
ARG,2000,165
CUB,2000,271
CUB,1992,196
BLR,2004,192
BLR,2008,237
FRA,2008,448
FRA,2016,512
ARG,2012,148
GRE,2004,499
CMR,2000,39
CMR,1968,5
TUR,1996,61
CHI,1924,18
ESP,1996,384
MEX,2000,98
CHI,1992,23
USA,2004,726
ESP,1976,7
ESP,1980,160
ESP,1984,257
URS,1964,91
URS,1980,574
CHI,1984,64
RUS,2004,593
ITA,2012,382
ITA,2008,459
FRA,2004,461
NCA,2004,6
NCA,1976,25
MEX,1968,446
HUN,1992,315
HUN,1936,335
NGR,1972,36
EGY,1920,22
EGY,1928,43
ITA,1936,349
CHA,1972,5
ALG,2012,39
ALG,2016,74
ITA,1988,117
ITA,1996,460
ITA,2000,457
ITA,1984,368
ITA,1992,431
ITA,1980,312
KUW,1976,21
KUW,1980,67
BRN,2016,33
PAK,1996,24
IRQ,1964,19
IRQ,2004,24
PAK,1992,28
UAR,1960,123
EGY,1964,83
LIB,1988,8
EGY,1952,196
PAK,2010,1
QAT,2004,15
PAK,2000,27
PAK,2004,26
PAK,2012,21
MAS,1984,27
IRI,2014,7
PAK,2008,22
IRI,2012,57
AZE,2008,44
AZE,2000,32
GER,1900,103
NED,2016,329
ITA,1964,93
ITA,1968,79
IRQ,2016,20
GRE,1906,484
CAN,1996,408
CAN,2000,422
IRL,2016,93
USA,1928,426
AUS,2008,570
RSA,2008,179
USA,2010,341
USA,2014,367
CAN,1976,85
CAN,2008,449
USA,2016,719
USA,1900,135
USA,2008,763
MAR,2008,49
EGY,2004,104
EGY,2012,132
EGY,2008,116
ERI,2008,11
EGY,2016,137
EGY,1992,83
EGY,1996,33
TAN,1964,4
TAN,1972,22
FRA,1952,408
KUW,1972,4
JOR,1984,15
SUD,1960,13
SUD,1968,7
EGY,1948,166
EGY,1976,26
EGY,1984,148
EGY,1972,26
TUN,1976,16
EGY,1988,59
LBA,1996,5
EGY,1936,66
SUD,2008,9
ALG,1980,63
ALG,1988,45
ALG,1992,45
ALG,2008,57
IRI,2016,67
BEL,2016,138
AUS,2012,514
QAT,1992,30
QAT,1996,13
DJI,1988,6
DJI,1992,8
USA,2000,764
USA,2012,689
AUS,2000,788
AUS,2004,601
PLE,2008,4
CAN,1984,572
IRI,1976,12
CMR,2012,32
COM,1996,4
CHA,1996,4
CMR,2016,22
KAZ,2016,123
BRU,2016,3
IRQ,1980,44
KUW,2000,30
MAS,1996,43
MAS,2000,55
MAS,1992,30
BRU,1996,1
BRU,2000,2
SUD,2000,3
IND,1928,24
IRQ,1960,28
KSA,1984,42
SYR,1980,71
MDV,1988,9
BRN,2000,4
BRN,1984,14
ETH,1972,40
MAS,1968,35
PAK,1960,53
PAK,1964,47
IRQ,2008,4
IRQ,2012,8
PAK,1948,44
UAE,1996,4
YAR,1988,8
PAK,1952,51
INA,2004,39
NGR,1968,46
URS,1972,531
PHI,1968,89
QAT,2008,20
IRQ,1992,8
UAE,1988,36
UAE,1984,11
KUW,1992,37
SGP,1992,37
SGP,1996,35
NGR,1988,86
AZE,1996,24
UZB,1996,95
UZB,2000,85
UZB,2012,56
UZB,2016,80
AZE,2004,37
AZE,2012,59
UAE,2012,26
KUW,1988,34
UZB,2004,79
KGZ,2008,22
KGZ,2012,15
TJK,2016,7
RUS,2016,406
TJK,2004,9
TJK,2008,16
TJK,2012,16
LBA,1980,38
EUN,1992,650
URS,1988,143
KGZ,2004,32
JPN,1936,325
JPN,1972,134
JPN,1976,87
JPN,1960,278
JPN,1992,392
JPN,1972,293
JPN,1988,412
JPN,1994,125
JPN,1968,456
JPN,1976,134
JPN,2000,363
JPN,2008,457
JPN,1996,448
JPN,1984,365
JPN,2004,414
CGO,1980,25
ETH,1992,24
