NOC,Event,Gam_Med_Bro,Gam_Med_Sil,Gam_Med_Gol,Gam_Med_Non
CHN,Basketball Men's Basketball,0,0,0,130
CHN,Judo Men's Extra-Lightweight,0,0,0,6
DEN,Football Men's Football,13,40,12,71
DEN,Tug-Of-War Men's Tug-Of-War,0,0,3,0
NED,Speed Skating Women's 500 metres,1,0,0,38
NED,"Speed Skating Women's 1,000 metres",2,3,3,35
USA,Cross Country Skiing Men's 10 kilometres,0,0,0,14
USA,Cross Country Skiing Men's 50 kilometres,0,0,0,63
USA,Cross Country Skiing Men's 10/15 kilometres Pursuit,0,0,0,13
USA,Cross Country Skiing Men's 4 x 10 kilometres Relay,0,0,0,74
USA,Cross Country Skiing Men's 30 kilometres,0,1,0,50
NED,Athletics Women's 100 metres,0,0,1,24
NED,Athletics Women's 4 x 100 metres Relay,0,0,4,40
FIN,Ice Hockey Men's Ice Hockey,90,45,0,188
FIN,Swimming Men's 400 metres Freestyle,0,0,0,12
FIN,Cross Country Skiing Men's 30 kilometres,2,0,3,46
FIN,Badminton Men's Singles,0,0,0,9
FIN,Sailing Women's Windsurfer,0,1,0,4
FIN,Biathlon Women's 7.5 kilometres Sprint,0,0,0,18
FIN,Swimming Men's 200 metres Breaststroke,1,0,0,22
FIN,Swimming Men's 400 metres Breaststroke,1,0,0,3
FIN,Gymnastics Men's Individual All-Around,2,0,1,78
FIN,Gymnastics Men's Team All-Around,53,0,8,34
FIN,Gymnastics Men's Floor Exercise,0,0,0,55
FIN,Gymnastics Men's Horse Vault,1,1,1,64
FIN,Gymnastics Men's Parallel Bars,1,1,0,66
FIN,Gymnastics Men's Horizontal Bar,2,1,1,65
FIN,Gymnastics Men's Rings,0,0,0,68
FIN,Gymnastics Men's Pommelled Horse,1,1,4,63
FIN,Athletics Men's Shot Put,0,2,2,36
FIN,"Art Competitions Mixed Sculpturing, Unknown Event",0,0,0,1
NOR,Alpine Skiing Men's Downhill,1,4,0,48
NOR,Alpine Skiing Men's Super G,2,0,5,21
NOR,Alpine Skiing Men's Giant Slalom,3,1,1,48
NOR,Alpine Skiing Men's Slalom,2,2,2,51
NOR,Alpine Skiing Men's Combined,1,2,2,30
NOR,Handball Women's Handball,29,28,28,15
ROU,Weightlifting Women's Super-Heavyweight,0,0,0,1
NOR,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,0,0,6
NOR,Speed Skating Men's 500 metres,4,6,3,49
NOR,"Speed Skating Men's 1,500 metres",8,7,8,58
NOR,"Gymnastics Men's Team All-Around, Free System",0,25,24,0
