NOC,Event,Game_Med_Per
CHN,Basketball Men's Basketball,0
CHN,Judo Men's Extra-Lightweight,0
DEN,Football Men's Football,0.477941176
DEN,Tug-Of-War Men's Tug-Of-War,1
NED,Speed Skating Women's 500 metres,0.025641026
NED,"Speed Skating Women's 1,000 metres",0.186046512
USA,Cross Country Skiing Men's 10 kilometres,0
USA,Cross Country Skiing Men's 50 kilometres,0
USA,Cross Country Skiing Men's 10/15 kilometres Pursuit,0
USA,Cross Country Skiing Men's 4 x 10 kilometres Relay,0
USA,Cross Country Skiing Men's 30 kilometres,0.019607843
NED,Athletics Women's 100 metres,0.04
NED,Athletics Women's 4 x 100 metres Relay,0.090909091
FIN,Ice Hockey Men's Ice Hockey,0.417956656
FIN,Swimming Men's 400 metres Freestyle,0
FIN,Cross Country Skiing Men's 30 kilometres,0.098039216
FIN,Badminton Men's Singles,0
FIN,Sailing Women's Windsurfer,0.2
FIN,Biathlon Women's 7.5 kilometres Sprint,0
FIN,Swimming Men's 200 metres Breaststroke,0.043478261
FIN,Swimming Men's 400 metres Breaststroke,0.25
FIN,Gymnastics Men's Individual All-Around,0.037037037
FIN,Gymnastics Men's Team All-Around,0.642105263
FIN,Gymnastics Men's Floor Exercise,0
FIN,Gymnastics Men's Horse Vault,0.044776119
FIN,Gymnastics Men's Parallel Bars,0.029411765
FIN,Gymnastics Men's Horizontal Bar,0.057971014
FIN,Gymnastics Men's Rings,0
FIN,Gymnastics Men's Pommelled Horse,0.086956522
FIN,Athletics Men's Shot Put,0.1
FIN,"Art Competitions Mixed Sculpturing, Unknown Event",0
NOR,Alpine Skiing Men's Downhill,0.094339623
NOR,Alpine Skiing Men's Super G,0.25
NOR,Alpine Skiing Men's Giant Slalom,0.094339623
NOR,Alpine Skiing Men's Slalom,0.105263158
NOR,Alpine Skiing Men's Combined,0.142857143
NOR,Handball Women's Handball,0.85
ROU,Weightlifting Women's Super-Heavyweight,0
NOR,"Wrestling Men's Light-Heavyweight, Greco-Roman",0
NOR,Speed Skating Men's 500 metres,0.209677419
NOR,"Speed Skating Men's 1,500 metres",0.283950617
NOR,"Gymnastics Men's Team All-Around, Free System",1
NOR,Luge Women's Singles,0
NED,Water Polo Men's Water Polo,0.111764706
NOR,Sailing Mixed Three Person Keelboat,0.230769231
NED,Hockey Women's Hockey,0.888888889
NED,Rowing Men's Lightweight Double Sculls,0.5
EST,Athletics Men's Pole Vault,0
